,Unnamed: 0,image_name,image_path,split,city,annotation_json,instance_path,yolo_annotation_path,instance_based_yolo,hash,brightness,saturation,contrast,edge_density
0,0,aachen_000000_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000000_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000000_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000000_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000000_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000000_000019_leftImg8bit.txt,58f1009f8435f2fffe0610b43ff3028b,0.3114293958626542,0.1930322759291706,0.1504481552937063,0.02008199691772461
1,1,aachen_000001_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000001_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000001_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000001_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000001_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000001_000019_leftImg8bit.txt,e63c9589612d48f7628f40bca42e445f,0.2960146417804792,0.1963795119640872,0.1900421317477793,0.016881465911865234
2,2,aachen_000002_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000002_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000002_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000002_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000002_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000002_000019_leftImg8bit.txt,735c710cc762bcf5ab599abad2e86d2a,0.25128394482182526,0.23577752019844825,0.12470057381928958,0.016328811645507812
3,3,aachen_000003_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000003_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000003_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000003_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000003_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000003_000019_leftImg8bit.txt,7e109a59a81440ead9cbd149eaf99ac6,0.2979314504885206,0.18570956622852997,0.10728146844660431,0.031796932220458984
4,4,aachen_000004_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000004_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000004_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000004_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000004_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000004_000019_leftImg8bit.txt,5d84c7a491683833ab8e36d71ffa6754,0.3130872483346979,0.1848088825450224,0.16571912477271272,0.025069236755371094
5,5,aachen_000005_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000005_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000005_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000005_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000005_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000005_000019_leftImg8bit.txt,c8d1196b7304b678fb39b6ea9008f6c7,0.2988585266412473,0.2123469352722168,0.14340178218918706,0.025925159454345703
6,6,aachen_000006_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000006_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000006_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000006_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000006_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000006_000019_leftImg8bit.txt,7d1b0b18a3cd24d316a5b1be7021da81,0.2727688602372713,0.21159363166958664,0.1578117996739543,0.008582592010498047
7,7,aachen_000007_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000007_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000007_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000007_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000007_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000007_000019_leftImg8bit.txt,22209dc85b9fa3f5d5e29bfb47b08a70,0.28291450388291317,0.20607906042360793,0.1367214708316145,0.013592243194580078
8,8,aachen_000008_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000008_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000008_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000008_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000008_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000008_000019_leftImg8bit.txt,7e010a3f491c52bc1fc812ec62ddfa59,0.29044037426219277,0.2013846883586809,0.14835765874971946,0.015246391296386719
9,9,aachen_000009_000019,..\data\leftImg8bit_trainvaltest\leftImg8bit\train\aachen\aachen_000009_000019_leftImg8bit.png,train,aachen,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000009_000019_gtFine_polygons.json,..\data\gtFine_trainvaltest\gtFine\train\aachen\aachen_000009_000019_gtFine_instanceIds.png,..\data\yolo_annotations\aachen_000009_000019_leftImg8bit.txt,..\data\yolo_annotations_instances\aachen_000009_000019_leftImg8bit.txt,7d1ca58c552494105808db6078828131,0.26883515002680786,0.20433711631625315,0.14903942339731985,0.02024984359741211
